ALL,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
coverage,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time
80%,213,1.6,7.6,195,15.9,18.8,198,23.6,65.5,144,1.5,12.3
90%,212,2.6,10.6,194,47.0,33.7,182,59.2,116.0,144,2.5,32.2
95%,212,8.1,14.5,192,68.7,56.5,179,79.5,149.6,143,4.0,29.0
98%,205,12.4,21.2,181,101.6,131.0,165,116.7,164.3,143,7.2,43.6
99%,198,20.7,29.4,166,123.1,216.8,145,114.7,160.4,142,12.2,33.2
99.5%,193,18.0,36.7,142,122.6,157.2,126,108.4,151.9,142,17.5,49.2
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_BV,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
coverage,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time
80%,157,1.5,9.1,155,17.1,23.1,155,25.8,82.7,144,1.5,12.3
90%,156,2.4,12.8,155,51.7,40.0,154,64.9,133.3,144,2.5,32.2
95%,156,3.9,17.1,153,73.4,64.7,153,83.4,159.1,143,4.0,29.0
98%,155,6.5,23.2,148,101.1,137.2,149,106.9,163.1,143,7.2,43.6
99%,155,15.1,31.2,140,117.7,225.3,136,118.1,163.6,142,12.2,33.2
99.5%,155,17.4,38.7,119,113.4,148.7,118,109.3,149.6,142,17.5,49.2
,,,,,,,,,,,,
,,,,,,,,,,,,
QF_ABV,,PanSampler,,,SMTSampler,,,GuidedSampler,,,,
coverage,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time,,,
80%,56,2.0,3.2,40,11.5,2.1,43,15.6,3.4,,,
90%,56,3.1,4.5,39,28.4,8.9,28,27.5,21.0,,,
95%,56,19.8,7.3,39,50.2,24.1,26,56.5,94.2,,,
98%,50,30.8,14.7,33,103.8,103.1,16,207.9,176.2,,,
99%,43,41.0,22.8,26,152.3,171.4,9,62.9,111.6,,,
99.5%,38,20.8,28.7,23,170.3,201.2,8,95.6,185.4,,,
